assay_id,n_molecules,n_actives,fraction_active,shift_type,internal_split
1473382,31,31,1.0,scaffold,train
1573821,47,47,1.0,scaffold,train
1513931,60,60,1.0,scaffold,train
1785567,13,13,1.0,scaffold,train
1513932,3,3,1.0,scaffold,train
1513934,2,2,1.0,scaffold,train
498611,33,33,1.0,scaffold,train
1638332,32,32,1.0,scaffold,train
1638439,361,361,1.0,scaffold,train
1639066,2,2,1.0,scaffold,train
1918342,42,42,1.0,scaffold,train
552584,51,23,0.45098039215686275,scaffold,train
1638333,7,7,1.0,scaffold,train
1637091,44,44,1.0,scaffold,train
363048,17,17,1.0,scaffold,train
1785566,1,1,1.0,scaffold,train
1528670,20,20,1.0,scaffold,train
366821,3,0,0.0,scaffold,train
366820,4,0,0.0,scaffold,train
737709,28,11,0.39285714285714285,scaffold,train
737242,5,5,1.0,scaffold,train
737262,38,19,0.5,scaffold,train
159311,6,6,1.0,scaffold,train
379860,31,31,1.0,scaffold,train
1528855,48,38,0.7916666666666666,scaffold,train
90723,6,3,0.5,scaffold,train
210045,15,12,0.8,scaffold,train
1287043,9,9,1.0,scaffold,train
1528286,58,58,1.0,scaffold,train
2017163,34,25,0.7352941176470589,scaffold,train
158033,20,20,1.0,scaffold,train
858884,9,5,0.5555555555555556,scaffold,train
1639902,14,14,1.0,scaffold,train
1639903,15,15,1.0,scaffold,train
1639642,7,7,1.0,scaffold,train
1639640,4,4,1.0,scaffold,train
1678644,6,2,0.3333333333333333,scaffold,train
1698353,23,23,1.0,scaffold,train
1528151,37,37,1.0,scaffold,train
49717,27,27,1.0,scaffold,train
1328269,25,25,1.0,scaffold,train
1527881,102,102,1.0,scaffold,train
1527943,161,160,0.9937888198757764,scaffold,train
745138,5,5,1.0,scaffold,train
1527944,89,83,0.9325842696629213,scaffold,train
1527607,198,198,1.0,scaffold,train
688124,6,6,1.0,scaffold,train
737392,11,3,0.2727272727272727,scaffold,train
764847,84,84,1.0,scaffold,train
985292,39,13,0.3333333333333333,scaffold,train
450707,17,17,1.0,scaffold,train
978844,35,35,1.0,scaffold,train
1500054,24,24,1.0,scaffold,train
1536084,28,28,1.0,scaffold,train
1527815,75,71,0.9466666666666667,scaffold,train
1527982,7,7,1.0,scaffold,train
1528893,110,110,1.0,scaffold,train
1528097,37,37,1.0,scaffold,train
1669514,35,35,1.0,scaffold,train
1933657,22,22,1.0,scaffold,train
631855,5,0,0.0,scaffold,train
753234,30,6,0.2,scaffold,train
1328268,1,1,1.0,scaffold,train
1537606,64,64,1.0,scaffold,train
1572440,9,9,1.0,scaffold,train
1527913,69,69,1.0,scaffold,train
1527768,20,20,1.0,scaffold,train
1698722,1,1,1.0,scaffold,train
28792,12,12,1.0,scaffold,train
368413,32,32,1.0,scaffold,train
622825,29,29,1.0,scaffold,train
1275453,29,29,1.0,scaffold,train
1537607,19,19,1.0,scaffold,train
1528146,112,112,1.0,scaffold,train
36630,46,46,1.0,scaffold,train
306667,15,14,0.9333333333333333,scaffold,train
501175,22,22,1.0,scaffold,train
785501,22,22,1.0,scaffold,train
1466205,24,23,0.9583333333333334,scaffold,train
1527735,134,133,0.9925373134328358,scaffold,train
1528845,58,58,1.0,scaffold,train
1528851,119,119,1.0,scaffold,train
1528827,2,2,1.0,scaffold,train
2018548,11,7,0.6363636363636364,scaffold,train
40265,22,22,1.0,scaffold,train
306735,15,15,1.0,scaffold,train
1948623,1,1,1.0,scaffold,train
1291534,19,18,0.9473684210526315,scaffold,train
1296166,17,17,1.0,scaffold,train
1474037,11,11,1.0,scaffold,train
1537646,121,121,1.0,scaffold,train
1613063,11,11,1.0,scaffold,train
1527803,33,33,1.0,scaffold,train
1528302,67,67,1.0,scaffold,train
1528496,43,43,1.0,scaffold,train
1528720,114,114,1.0,scaffold,train
1528828,26,26,1.0,scaffold,train
1687537,27,27,1.0,scaffold,train
1869378,9,9,1.0,scaffold,train
159289,28,28,1.0,scaffold,train
626787,36,36,1.0,scaffold,train
646979,35,31,0.8857142857142857,scaffold,train
818324,8,6,0.75,scaffold,train
964081,20,20,1.0,scaffold,train
988290,25,25,1.0,scaffold,train
1479054,48,45,0.9375,scaffold,train
1534727,22,22,1.0,scaffold,train
1535247,26,25,0.9615384615384616,scaffold,train
1534634,103,103,1.0,scaffold,train
1527977,72,72,1.0,scaffold,train
1537056,47,47,1.0,scaffold,train
1640000,51,51,1.0,scaffold,train
1528368,67,67,1.0,scaffold,train
1869379,3,3,1.0,scaffold,train
1870182,31,31,1.0,scaffold,train
1983575,8,8,1.0,scaffold,train
36952,28,28,1.0,scaffold,train
305283,19,17,0.8947368421052632,scaffold,train
313008,22,22,1.0,scaffold,train
446786,15,15,1.0,scaffold,train
493369,9,9,1.0,scaffold,train
500129,26,26,1.0,scaffold,train
595037,39,38,0.9743589743589743,scaffold,train
612189,51,51,1.0,scaffold,train
665678,21,19,0.9047619047619048,scaffold,train
1661636,17,16,0.9411764705882353,scaffold,train
737365,11,0,0.0,scaffold,train
775393,29,29,1.0,scaffold,train
902360,13,13,1.0,scaffold,train
933806,18,17,0.9444444444444444,scaffold,train
1466965,13,12,0.9230769230769231,scaffold,train
1528842,208,208,1.0,scaffold,train
1528048,94,94,1.0,scaffold,train
1537597,94,94,1.0,scaffold,train
1527914,25,25,1.0,scaffold,train
1528574,41,41,1.0,scaffold,train
1528123,18,18,1.0,scaffold,train
326138,11,11,1.0,scaffold,train
474639,47,47,1.0,scaffold,train
558515,25,25,1.0,scaffold,train
688404,12,11,0.9166666666666666,scaffold,train
688431,4,4,1.0,scaffold,train
688750,34,17,0.5,scaffold,train
737299,10,9,0.9,scaffold,train
901575,11,11,1.0,scaffold,train
1280627,18,16,0.8888888888888888,scaffold,train
1537647,31,31,1.0,scaffold,train
1589851,24,22,0.9166666666666666,scaffold,train
1637329,157,157,1.0,scaffold,train
1639639,7,7,1.0,scaffold,train
1527880,77,77,1.0,scaffold,train
1528185,186,186,1.0,scaffold,train
1528055,168,168,1.0,scaffold,train
1527636,71,71,1.0,scaffold,train
1527698,94,94,1.0,scaffold,train
1528759,70,70,1.0,scaffold,train
1528941,18,18,1.0,scaffold,train
1755232,34,34,1.0,scaffold,train
1785722,34,24,0.7058823529411765,scaffold,train
1891102,2,2,1.0,scaffold,train
1936902,282,279,0.9893617021276596,scaffold,train
2032465,15,15,1.0,scaffold,train
2091570,27,14,0.5185185185185185,scaffold,train
