domain_id,n_molecules,n_actives,fraction_active,shift_type,internal_split
16843,1,1,1.0,scaffold,train
20705,1,1,1.0,scaffold,train
16845,57,57,1.0,scaffold,train
16850,2,2,1.0,scaffold,train
16862,1,1,1.0,scaffold,train
17599,2,2,1.0,scaffold,train
21531,1,1,1.0,scaffold,train
16857,1,1,1.0,scaffold,train
16858,1,1,1.0,scaffold,train
16856,2,2,1.0,scaffold,train
16840,9,9,1.0,scaffold,train
16855,1,1,1.0,scaffold,train
17597,55,55,1.0,scaffold,train
16854,2,2,1.0,scaffold,train
17600,2,2,1.0,scaffold,train
3731,1,1,1.0,scaffold,train
17596,2,2,1.0,scaffold,train
17622,2,2,1.0,scaffold,train
17623,1,1,1.0,scaffold,train
3717,15,15,1.0,scaffold,train
17598,1,1,1.0,scaffold,train
3719,1,1,1.0,scaffold,train
3730,1,1,1.0,scaffold,train
3716,15,15,1.0,scaffold,train
21521,1,1,1.0,scaffold,train
21638,2,2,1.0,scaffold,train
21680,1,1,1.0,scaffold,train
21542,1,1,1.0,scaffold,train
21566,1,1,1.0,scaffold,train
21519,1,1,1.0,scaffold,train
21533,3,3,1.0,scaffold,train
21562,3,3,1.0,scaffold,train
21522,1,1,1.0,scaffold,train
21637,3,3,1.0,scaffold,train
21569,1,1,1.0,scaffold,train
33452,1,1,1.0,scaffold,train
3416,1,1,1.0,scaffold,train
21536,1,1,1.0,scaffold,train
21541,16,16,1.0,scaffold,train
21636,1,1,1.0,scaffold,train
21595,1,1,1.0,scaffold,train
3418,2,2,1.0,scaffold,train
3422,1,0,0.0,scaffold,train
21515,1,1,1.0,scaffold,train
3406,1,1,1.0,scaffold,train
21268,1,1,1.0,scaffold,train
21516,1,1,1.0,scaffold,train
21585,1,1,1.0,scaffold,train
3409,31,12,0.3870967741935484,scaffold,train
21623,1,1,1.0,scaffold,train
21629,1,1,1.0,scaffold,train
21219,1,1,1.0,scaffold,train
21650,1,1,1.0,scaffold,train
21648,1,1,1.0,scaffold,train
21615,1,1,1.0,scaffold,train
21673,1,1,1.0,scaffold,train
2129,4,4,1.0,scaffold,train
21511,1,1,1.0,scaffold,train
21513,1,1,1.0,scaffold,train
21633,1,1,1.0,scaffold,train
21575,79,79,1.0,scaffold,train
21616,6,6,1.0,scaffold,train
21621,5,5,1.0,scaffold,train
21646,1,1,1.0,scaffold,train
21647,2,2,1.0,scaffold,train
21656,1,1,1.0,scaffold,train
21657,1,1,1.0,scaffold,train
33456,10,10,1.0,scaffold,train
21514,1,1,1.0,scaffold,train
21591,4,4,1.0,scaffold,train
21617,8,8,1.0,scaffold,train
21619,3,3,1.0,scaffold,train
21640,3,3,1.0,scaffold,train
21649,1,1,1.0,scaffold,train
21517,1,1,1.0,scaffold,train
21704,1,1,1.0,scaffold,train
21206,1,1,1.0,scaffold,train
21509,3,3,1.0,scaffold,train
21510,1,1,1.0,scaffold,train
21597,3,3,1.0,scaffold,train
21601,1,1,1.0,scaffold,train
21631,1,1,1.0,scaffold,train
33448,5,5,1.0,scaffold,train
2132,2,2,1.0,scaffold,train
21593,1,1,1.0,scaffold,train
21548,2,2,1.0,scaffold,train
21266,1,1,1.0,scaffold,train
21273,1,1,1.0,scaffold,train
21512,1,1,1.0,scaffold,train
21579,2,2,1.0,scaffold,train
21584,195,195,1.0,scaffold,train
21592,3,3,1.0,scaffold,train
33437,12,12,1.0,scaffold,train
2130,10,10,1.0,scaffold,train
3445,1,1,1.0,scaffold,train
3448,1,0,0.0,scaffold,train
3446,2,1,0.5,scaffold,train
21209,1,1,1.0,scaffold,train
21229,1,1,1.0,scaffold,train
21583,2,2,1.0,scaffold,train
33442,11,11,1.0,scaffold,train
3434,1,1,1.0,scaffold,train
3408,8,4,0.5,scaffold,train
21479,1,1,1.0,scaffold,train
21654,1,1,1.0,scaffold,train
2131,1,1,1.0,scaffold,train
21495,1,1,1.0,scaffold,train
21502,2,2,1.0,scaffold,train
21559,3,3,1.0,scaffold,train
21232,2,2,1.0,scaffold,train
21570,1,1,1.0,scaffold,train
21203,5,5,1.0,scaffold,train
21622,9,9,1.0,scaffold,train
3437,2,0,0.0,scaffold,train
21480,1,1,1.0,scaffold,train
21558,1,1,1.0,scaffold,train
21563,1,1,1.0,scaffold,train
28977,1,1,1.0,scaffold,train
21223,1,1,1.0,scaffold,train
21258,1,1,1.0,scaffold,train
2166,5,0,0.0,scaffold,train
2169,1,0,0.0,scaffold,train
9794,9,7,0.7777777777777778,scaffold,train
27,1,1,1.0,scaffold,train
2230,2,2,1.0,scaffold,train
21217,1,1,1.0,scaffold,train
28494,1,1,1.0,scaffold,train
21215,1,1,1.0,scaffold,train
2226,2,2,1.0,scaffold,train
2227,1,1,1.0,scaffold,train
28434,1,1,1.0,scaffold,train
28438,4,3,0.75,scaffold,train
28453,1,1,1.0,scaffold,train
28499,4,4,1.0,scaffold,train
28450,1,1,1.0,scaffold,train
86,1,1,1.0,scaffold,train
698,1,1,1.0,scaffold,train
2228,1,1,1.0,scaffold,train
