assay_id,split,passes_filter,n_total,n_inexact,n_invalid,n_exact,fraction_exact,n_actives,n_has_binary,fraction_active
CHEMBL1000360,train,1,64,0,0,64,1.0,64.0,64,1.0
CHEMBL1000361,train,1,64,1,0,63,0.984375,32.0,63,0.5079365079365079
CHEMBL1000384,train,1,39,0,4,35,0.8974358974358975,19.0,35,0.5428571428571428
CHEMBL1000386,train,1,35,2,0,33,0.9428571428571428,17.0,33,0.5151515151515151
CHEMBL1000387,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1000620,train,1,40,2,0,38,0.95,37.0,38,0.9736842105263158
CHEMBL1000621,train,1,40,5,0,35,0.875,20.0,35,0.5714285714285714
CHEMBL1000622,train,1,37,2,0,35,0.9459459459459459,18.0,35,0.5142857142857142
CHEMBL1000656,train,1,34,0,0,34,1.0,33.0,34,0.9705882352941176
CHEMBL1000710,train,1,81,0,0,81,1.0,81.0,81,1.0
CHEMBL1001153,train,1,35,2,0,33,0.9428571428571428,16.0,33,0.48484848484848486
CHEMBL1001154,train,1,35,2,0,33,0.9428571428571428,33.0,33,1.0
CHEMBL1001155,train,1,35,3,0,32,0.9142857142857143,32.0,32,1.0
CHEMBL1001157,train,1,37,2,0,35,0.9459459459459459,34.0,35,0.9714285714285714
CHEMBL1001352,train,1,36,1,0,35,0.9722222222222222,18.0,35,0.5142857142857142
CHEMBL1001353,train,1,34,2,0,32,0.9411764705882353,17.0,32,0.53125
CHEMBL1001355,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1001370,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1001485,train,1,58,0,0,58,1.0,58.0,58,1.0
CHEMBL1002018,train,1,35,1,0,34,0.9714285714285714,16.0,34,0.47058823529411764
CHEMBL1002365,train,1,40,8,0,32,0.8,20.0,32,0.625
CHEMBL1002368,train,1,41,5,0,36,0.8780487804878049,19.0,36,0.5277777777777778
CHEMBL1002389,train,1,40,7,0,33,0.825,20.0,33,0.6060606060606061
CHEMBL1002390,train,1,40,6,0,34,0.85,20.0,34,0.5882352941176471
CHEMBL1002391,train,1,42,6,0,36,0.8571428571428571,21.0,36,0.5833333333333334
CHEMBL1002392,train,1,38,4,0,34,0.8947368421052632,19.0,34,0.5588235294117647
CHEMBL1002398,train,1,42,10,0,32,0.7619047619047619,21.0,32,0.65625
CHEMBL1002405,train,1,42,10,0,32,0.7619047619047619,20.0,32,0.625
CHEMBL1002712,train,1,118,0,0,118,1.0,59.0,118,0.5
CHEMBL1002983,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1002984,train,1,37,0,0,37,1.0,37.0,37,1.0
CHEMBL1002985,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1002986,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1003006,train,1,71,34,0,37,0.5211267605633803,8.0,37,0.21621621621621623
CHEMBL1003145,train,1,41,0,0,41,1.0,20.0,41,0.4878048780487805
CHEMBL1003147,train,1,41,0,0,41,1.0,41.0,41,1.0
CHEMBL1003624,train,1,37,2,0,35,0.9459459459459459,33.0,35,0.9428571428571428
CHEMBL1003678,train,1,41,4,0,37,0.9024390243902439,19.0,37,0.5135135135135135
CHEMBL1003765,train,1,42,0,0,42,1.0,42.0,42,1.0
CHEMBL1003766,train,1,33,0,0,33,1.0,33.0,33,1.0
CHEMBL1003787,train,1,49,2,0,47,0.9591836734693877,22.0,47,0.46808510638297873
