assay_id,split,passes_filter,n_total,n_inexact,n_invalid,n_exact,fraction_exact,n_actives,n_has_binary,fraction_active
CHEMBL1000314,train,0,58,29,0,29,0.5,29.0,29,1.0
CHEMBL1000360,train,1,64,0,0,64,1.0,64.0,64,1.0
CHEMBL1000361,train,1,64,1,0,63,0.984375,32.0,63,0.5079365079365079
CHEMBL1000384,train,1,39,0,4,35,0.8974358974358975,19.0,35,0.5428571428571428
CHEMBL1000385,train,0,27,0,2,25,0.9259259259259259,12.0,25,0.48
CHEMBL1000386,train,1,35,2,0,33,0.9428571428571428,17.0,33,0.5151515151515151
CHEMBL1000387,train,1,37,0,0,37,1.0,18.0,37,0.4864864864864865
CHEMBL1000620,train,1,40,2,0,38,0.95,37.0,38,0.9736842105263158
CHEMBL1000621,train,1,40,5,0,35,0.875,20.0,35,0.5714285714285714
CHEMBL1000622,train,1,37,2,0,35,0.9459459459459459,18.0,35,0.5142857142857142
CHEMBL1000656,train,1,34,0,0,34,1.0,33.0,34,0.9705882352941176
CHEMBL1000658,train,0,33,8,0,25,0.7575757575757576,16.0,25,0.64
CHEMBL1000710,train,1,81,0,0,81,1.0,81.0,81,1.0
CHEMBL1001152,train,0,35,5,0,30,0.8571428571428571,16.0,30,0.5333333333333333
CHEMBL1001153,train,1,35,2,0,33,0.9428571428571428,16.0,33,0.48484848484848486
CHEMBL1001154,train,1,35,2,0,33,0.9428571428571428,33.0,33,1.0
CHEMBL1001155,train,1,35,3,0,32,0.9142857142857143,32.0,32,1.0
CHEMBL1001157,train,1,37,2,0,35,0.9459459459459459,34.0,35,0.9714285714285714
CHEMBL1001235,train,0,21,6,0,15,0.7142857142857143,10.0,15,0.6666666666666666
CHEMBL1001236,train,0,28,6,0,22,0.7857142857142857,14.0,22,0.6363636363636364
CHEMBL1001237,train,0,29,6,0,23,0.7931034482758621,14.0,23,0.6086956521739131
CHEMBL1001352,train,1,36,1,0,35,0.9722222222222222,18.0,35,0.5142857142857142
CHEMBL1001353,train,1,34,2,0,32,0.9411764705882353,17.0,32,0.53125
CHEMBL1001354,train,0,27,2,0,25,0.9259259259259259,13.0,25,0.52
CHEMBL1001355,train,1,33,0,0,33,1.0,16.0,33,0.48484848484848486
CHEMBL1001370,train,1,36,0,0,36,1.0,18.0,36,0.5
CHEMBL1001485,train,1,58,0,0,58,1.0,58.0,58,1.0
CHEMBL1002018,train,1,35,1,0,34,0.9714285714285714,16.0,34,0.47058823529411764
CHEMBL1002252,train,0,4,0,0,4,1.0,2.0,4,0.5
CHEMBL1002357,train,0,6,2,0,4,0.6666666666666666,3.0,4,0.75
CHEMBL1002358,train,0,15,5,0,10,0.6666666666666666,7.0,10,0.7
CHEMBL1002359,train,0,14,5,0,9,0.6428571428571429,7.0,9,0.7777777777777778
CHEMBL1002360,train,0,18,5,0,13,0.7222222222222222,9.0,13,0.6923076923076923
CHEMBL1002361,train,0,9,3,0,6,0.6666666666666666,4.0,6,0.6666666666666666
CHEMBL1002362,train,0,8,5,0,3,0.375,3.0,3,1.0
CHEMBL1002363,train,0,36,10,0,26,0.7222222222222222,18.0,26,0.6923076923076923
CHEMBL1002364,train,0,28,5,0,23,0.8214285714285714,14.0,23,0.6086956521739131
CHEMBL1002365,train,1,40,8,0,32,0.8,20.0,32,0.625
CHEMBL1002366,train,0,23,4,0,19,0.8260869565217391,10.0,19,0.5263157894736842
CHEMBL1002367,train,0,31,9,0,22,0.7096774193548387,14.0,22,0.6363636363636364
CHEMBL1002368,train,1,41,5,0,36,0.8780487804878049,19.0,36,0.5277777777777778
CHEMBL1002369,train,0,32,8,0,24,0.75,16.0,24,0.6666666666666666
CHEMBL1002370,train,0,34,13,0,21,0.6176470588235294,17.0,21,0.8095238095238095
CHEMBL1002371,train,0,21,8,0,13,0.6190476190476191,9.0,13,0.6923076923076923
CHEMBL1002372,train,0,30,8,0,22,0.7333333333333333,15.0,22,0.6818181818181818
CHEMBL1002374,train,0,35,7,0,28,0.8,16.0,28,0.5714285714285714
CHEMBL1002375,train,0,25,7,0,18,0.72,12.0,18,0.6666666666666666
CHEMBL1002376,train,0,20,5,0,15,0.75,10.0,15,0.6666666666666666
CHEMBL1002377,train,0,26,9,0,17,0.6538461538461539,13.0,17,0.7647058823529411
CHEMBL1002378,train,0,25,8,0,17,0.68,11.0,17,0.6470588235294118
CHEMBL1002379,train,0,33,10,0,23,0.696969696969697,16.0,23,0.6956521739130435
CHEMBL1002380,train,0,36,6,0,30,0.8333333333333334,18.0,30,0.6
CHEMBL1002381,train,0,29,6,0,23,0.7931034482758621,14.0,23,0.6086956521739131
CHEMBL1002382,train,0,36,12,0,24,0.6666666666666666,17.0,24,0.7083333333333334
CHEMBL1002384,train,0,29,7,0,22,0.7586206896551724,14.0,22,0.6363636363636364
CHEMBL1002385,train,0,31,4,0,27,0.8709677419354839,14.0,27,0.5185185185185185
CHEMBL1002386,train,0,28,3,0,25,0.8928571428571429,13.0,25,0.52
CHEMBL1002387,train,0,38,10,0,28,0.7368421052631579,19.0,28,0.6785714285714286
CHEMBL1002388,train,0,29,8,0,21,0.7241379310344828,14.0,21,0.6666666666666666
CHEMBL1002389,train,1,40,7,0,33,0.825,20.0,33,0.6060606060606061
CHEMBL1002390,train,1,40,6,0,34,0.85,20.0,34,0.5882352941176471
CHEMBL1002391,train,1,42,6,0,36,0.8571428571428571,21.0,36,0.5833333333333334
CHEMBL1002392,train,1,38,4,0,34,0.8947368421052632,19.0,34,0.5588235294117647
CHEMBL1002393,train,0,26,8,0,18,0.6923076923076923,13.0,18,0.7222222222222222
CHEMBL1002394,train,0,31,7,0,24,0.7741935483870968,15.0,24,0.625
CHEMBL1002395,train,0,25,8,0,17,0.68,11.0,17,0.6470588235294118
CHEMBL1002396,train,0,33,10,0,23,0.696969696969697,15.0,23,0.6521739130434783
CHEMBL1002397,train,0,32,8,0,24,0.75,16.0,24,0.6666666666666666
CHEMBL1002398,train,1,42,10,0,32,0.7619047619047619,21.0,32,0.65625
CHEMBL1002399,train,0,40,12,0,28,0.7,20.0,28,0.7142857142857143
