split_type,query_set,context_set_size,actual_context_n,n_test,n_seeds,delta_auprc,delta_auprc_std,rmse,rmse_std,mae,spearman,spearman_std
lbap_core_ic50_scaffold,ood_test,16,16,19480,3,0.006106178496773307,0.02092758225444576,,,,,
lbap_core_ic50_scaffold,iid_test,16,16,31388,3,0.030904467624396543,0.008002864975039234,,,,,
lbap_core_ic50_scaffold,ood_test,32,32,19480,3,0.02702912207078978,0.016634538626667094,,,,,
lbap_core_ic50_scaffold,iid_test,32,32,31388,3,0.042503850774581374,0.0030030161428079754,,,,,
lbap_core_ic50_scaffold,ood_test,64,64,19480,3,0.0221083257775981,0.022218826885088104,,,,,
lbap_core_ic50_scaffold,iid_test,64,64,31388,3,0.027492340217596428,0.022570742980440782,,,,,
lbap_core_ic50_scaffold,ood_test,128,128,19480,3,0.029035589639989496,0.010291873416902663,,,,,
lbap_core_ic50_scaffold,iid_test,128,128,31388,3,0.0364091251252987,0.009707361524198918,,,,,
lbap_core_ic50_scaffold,ood_test,256,256,19480,3,0.03870132951434546,0.0010756447687664415,,,,,
lbap_core_ic50_scaffold,iid_test,256,256,31388,3,0.04481842679369363,0.0013097723653226468,,,,,
lbap_core_ic50_scaffold,ood_test,512,512,19480,3,0.03898115814029209,0.003752862187790228,,,,,
lbap_core_ic50_scaffold,iid_test,512,512,31388,3,0.044217148843762565,0.003096434232953581,,,,,
lbap_core_ic50_size,ood_test,16,16,16761,3,0.042244349816513004,0.005835081112955177,,,,,
lbap_core_ic50_size,iid_test,16,16,12721,3,0.02334583253006317,0.003091234825216145,,,,,
lbap_core_ic50_size,ood_test,32,32,16761,3,0.045918223372723076,0.006289479317617088,,,,,
lbap_core_ic50_size,iid_test,32,32,12721,3,0.02626755723239223,0.005936988870404803,,,,,
lbap_core_ic50_size,ood_test,64,64,16761,3,0.04662019064458075,0.0055496954997540345,,,,,
lbap_core_ic50_size,iid_test,64,64,12721,3,0.027718606643024724,0.003188758590226503,,,,,
lbap_core_ic50_size,ood_test,128,128,16761,3,0.04636797687935087,0.005070590339102233,,,,,
lbap_core_ic50_size,iid_test,128,128,12721,3,0.028424650109814393,0.0024770054477150417,,,,,
lbap_core_ic50_size,ood_test,256,256,16761,3,0.04684720705117884,0.0015860098205256424,,,,,
lbap_core_ic50_size,iid_test,256,256,12721,3,0.028779112138266894,0.00026835978633772326,,,,,
lbap_core_ic50_size,ood_test,512,512,16761,3,0.04880096139274911,0.0021069506805018413,,,,,
lbap_core_ic50_size,iid_test,512,512,12721,3,0.029601431488070967,0.0012267313317906486,,,,,
lbap_core_ic50_assay,ood_test,16,16,19463,3,0.018911618259307206,0.04314602297166205,,,,,
lbap_core_ic50_assay,iid_test,16,16,11960,3,0.015470241051012357,0.05589995771701466,,,,,
lbap_core_ic50_assay,ood_test,32,32,19463,3,0.017395270449216554,0.04547031190029919,,,,,
lbap_core_ic50_assay,iid_test,32,32,11960,3,0.016428608172421793,0.05438406244526107,,,,,
lbap_core_ic50_assay,ood_test,64,64,19463,3,0.04126422406614053,0.014590437066342105,,,,,
lbap_core_ic50_assay,iid_test,64,64,11960,3,0.04704654379576408,0.013628696137385998,,,,,
lbap_core_ic50_assay,ood_test,128,128,19463,3,0.04817189469447758,0.003228716385988087,,,,,
lbap_core_ic50_assay,iid_test,128,128,11960,3,0.05396980338107423,0.0030906695327267758,,,,,
lbap_core_ic50_assay,ood_test,256,256,19463,3,0.049726111476183256,0.0021163720817802766,,,,,
lbap_core_ic50_assay,iid_test,256,256,11960,3,0.05474563940444469,0.0016459485792651638,,,,,
lbap_core_ic50_assay,ood_test,512,512,19463,3,0.0481286837561529,0.002478976527635565,,,,,
lbap_core_ic50_assay,iid_test,512,512,11960,3,0.05362212798568111,0.0018784822549035784,,,,,
