assay_id,n_scaffold_groups,n_molecules,delta_auprc,rmse,mae,spearman
CHEMBL1006005,151,186,0.07407407407407408,0.47402910627424716,0.4526714667677879,-0.10000000000000003
CHEMBL1066254,23,140,0.14561285756090953,0.659378182888031,0.5706476688385009,-0.058032413143105116
CHEMBL1119333,221,417,0.0,1.8871329516172408,1.7704037114977837,
CHEMBL1243967,77,206,-0.004994588744588753,1.1246189951896668,0.981929725408554,-0.42039011418412187
CHEMBL1243970,75,204,0.04094979094979095,0.8153127938508987,0.6948987200856209,0.15711675597433092
CHEMBL1613777,1830,3594,0.05238095238095237,1.2785253345966339,1.1786191582679748,0.7
CHEMBL1613898,148,167,0.0,2.099474275112152,2.0632488906383513,
CHEMBL1613907,31,149,0.03333333333333334,1.5711593747138977,1.403784030675888,0.8365566522176824
CHEMBL1613926,39,95,-0.016666666666666673,0.7888551861047745,0.7314388006925583,-1.0
CHEMBL1613949,55,63,,0.5766673527657986,0.5392091490328312,
CHEMBL1614027,1569,2993,0.017908396317487252,0.8469238311052323,0.7844622597098351,0.11895166886405627
CHEMBL1614153,2419,3088,0.011321130479584243,0.6960978679358959,0.5772123757749796,-0.31191597173618707
CHEMBL1614423,141,223,0.0,0.856028500199318,0.7593798875808716,0.35
CHEMBL1614433,282,415,0.0,0.8200099334120751,0.6245089516043663,-0.5000000000000001
CHEMBL1614466,445,561,0.07407407407407408,0.9100290328264237,0.6904063746333122,0.5
CHEMBL1614503,73,80,0.05,0.35780069082975385,0.3277662038803101,0.6000000000000001
CHEMBL1614508,96,169,0.0,0.5220536604523659,0.46901886761188505,-0.08818399868904436
CHEMBL1614522,447,758,-0.006349206349206359,2.637548327445984,2.3470980286598206,-0.2847004994122263
CHEMBL1737951,20,97,-0.008281537219675422,0.5010259807109833,0.4369095489382744,-0.22276531022212018
CHEMBL1738079,205,223,0.03333333333333334,0.40777769684791565,0.3633184254169464,1.0
CHEMBL1738362,89,109,0.0,0.47535029500722886,0.45876874923706057,
CHEMBL1738395,127,171,0.0,0.5003587007522583,0.4519144602119923,-0.8660254037844387
CHEMBL1738485,174,245,0.013888888888888886,0.4329670451581478,0.40587952360510826,0.42500000000000004
CHEMBL1738502,450,593,-0.01190476190476191,0.5694765642285347,0.49897544011473655,-1.0
CHEMBL1738573,1068,1431,0.0,0.944203108549118,0.7999824315309525,-1.0
CHEMBL1738579,148,206,0.02083333333333333,0.3139901362359524,0.2805496960878372,0.32142857142857145
CHEMBL1738633,126,141,0.013888888888888876,0.35712558664381505,0.3380271714180708,-0.16666666666666666
CHEMBL1794324,1008,1711,0.016394557823129263,0.5892011553049088,0.5231663569808006,-0.4682539682539683
CHEMBL1794519,124,146,0.0,1.6169198632240296,1.5504696279764176,
CHEMBL1794557,605,845,0.0,0.7777277290821075,0.6715712070465087,0.3333333333333333
CHEMBL1963701,224,303,0.0,1.0047546833753587,0.9053589761257171,
CHEMBL1963705,197,304,,1.1239282131195067,1.0373374700546265,0.4
CHEMBL1963715,287,443,0.0,0.8947564944624901,0.8233378931879998,-0.44999999999999996
CHEMBL1963721,118,150,,0.8571027651429176,0.765998737514019,
